n,Insert,Print,Delete,Merge,IndexOf,Clear,Min,Max,HasDuplicates,Select
129,0.0,6.945133209228516e-05,0.0,2.9914379119873047e-05,0.0,0.0, 0.0,0.0,0.0,0.0
130,0.0,7.969617843627929e-05,0.0,2.99382209777832e-05,0.0,0.0, 0.0,0.0,0.0,0.0
131,0.0,7.953643798828126e-05,0.0,4.0147304534912106e-05,0.0,0.0, 0.0,0.0,0.0,0.0
132,0.0,6.947755813598633e-05,0.0,2.989768981933594e-05,0.0,0.0, 0.0,0.0,0.0,0.0
133,0.0,6.94727897644043e-05,0.0,3.988504409790039e-05,0.0,0.0, 0.0,0.0,0.0,0.0
134,0.0,6.956338882446289e-05,0.0,2.9914379119873047e-05,0.0,0.0, 0.0,0.0,0.0,0.0
135,0.0,7.977962493896484e-05,0.0,3.9894580841064456e-05,0.0,0.0, 0.0,0.0,0.0,0.0
136,0.0,6.955385208129883e-05,0.0,3.988981246948242e-05,0.0,0.0, 0.0,0.0,0.0,0.0
137,0.0,7.940769195556641e-05,0.0,2.9921531677246094e-05,0.0,0.0, 0.0,0.0,0.0,0.0
138,0.0,7.979393005371094e-05,0.0,4.985809326171875e-05,0.0,0.0, 0.0,0.0,0.0,0.0
139,0.0,7.979631423950195e-05,0.0,2.9916763305664063e-05,0.0,0.0, 0.0,0.0,0.0,0.0
140,0.0,6.955623626708985e-05,9.977817535400391e-06,1.9946098327636718e-05,0.0,0.0, 0.0,0.0,0.0,0.0
141,0.0,7.957696914672851e-05,0.0,2.986907958984375e-05,0.0,0.0, 0.0,0.0,0.0,0.0
142,0.0,7.953166961669921e-05,0.0,3.9894580841064456e-05,0.0,0.0, 0.0,0.0,0.0,0.0
143,0.0,7.954835891723632e-05,0.0,5.0115585327148435e-05,0.0,0.0, 0.0,0.0,0.0,0.0
144,0.0,7.940053939819335e-05,0.0,2.9921531677246094e-05,0.0,0.0, 0.0,0.0,0.0,0.0
145,0.0,8.951187133789062e-05,0.0,2.9921531677246094e-05,0.0,0.0, 0.0,0.0,0.0,0.0
146,0.0,7.984638214111328e-05,0.0,4.022121429443359e-05,0.0,0.0, 0.0,0.0,0.0,0.0
147,0.0,8.949995040893554e-05,0.0,2.992868423461914e-05,0.0,0.0, 0.0,0.0,0.0,0.0
148,0.0,7.954120635986328e-05,0.0,2.9916763305664063e-05,0.0,0.0, 0.0,0.0,0.0,0.0
149,0.0,8.941411972045898e-05,0.0,5.983352661132813e-05,0.0,0.0, 0.0,0.0,0.0,0.0
150,0.0,8.941173553466796e-05,0.0,4.0276050567626955e-05,0.0,0.0, 0.0,0.0,0.0,0.0
151,0.0,8.939504623413086e-05,0.0,3.030538558959961e-05,0.0,0.0, 0.0,0.0,0.0,0.0
152,0.0,8.939504623413086e-05,0.0,3.9892196655273436e-05,0.0,0.0, 0.0,0.0,0.0,0.0
153,0.0,8.94761085510254e-05,0.0,6.973028182983399e-05,0.0,0.0, 0.0,0.0,0.0,0.0
154,0.0,7.93910026550293e-05,9.977817535400391e-06,3.0274391174316407e-05,0.0,0.0, 0.0,0.0,0.0,0.0
155,0.0,9.97304916381836e-05,0.0,4.026651382446289e-05,0.0,0.0, 0.0,0.0,0.0,0.0
156,0.0,8.933544158935547e-05,0.0,4.024982452392578e-05,0.0,0.0, 0.0,0.0,0.0,0.0
157,0.0,8.949995040893554e-05,0.0,2.9921531677246094e-05,0.0,0.0, 0.0,0.0,0.0,0.0
158,0.0,7.954120635986328e-05,0.0,5.011320114135742e-05,0.0,0.0, 0.0,0.0,0.0,0.0
159,0.0,8.940219879150391e-05,0.0,3.0248165130615235e-05,0.0,9.9945068359375e-06, 0.0,0.0,0.0,0.0
160,0.0,8.955717086791992e-05,9.961128234863282e-06,4.0149688720703126e-05,0.0,0.0, 0.0,0.0,0.0,0.0
161,0.0,8.973598480224609e-05,0.0,5.011320114135742e-05,0.0,0.0, 0.0,0.0,0.0,0.0
162,0.0,9.973526000976562e-05,0.0,6.983757019042969e-05,0.0,0.0, 0.0,0.0,0.0,0.0
163,0.0,8.975982666015625e-05,0.0,3.99017333984375e-05,0.0,1.0344982147216797e-05, 0.0,0.0,0.0,0.0
164,0.0,8.976459503173828e-05,0.0,4.0283203125e-05,0.0,0.0, 0.0,0.0,0.0,0.0
165,0.0,7.979393005371094e-05,0.0,3.988504409790039e-05,0.0,0.0, 9.973049163818359e-06,0.0,0.0,0.0
166,0.0,8.975744247436524e-05,0.0,4.0137767791748046e-05,0.0,0.0, 0.0,0.0,0.0,0.0
